run_id,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,walker_startup_s,trigger_ttc_s,trigger_delay_s,braking_ramp_up_per_s,brake_headway_s,brake_profile,weather_preset,sun_altitude_deg,cloudiness,sim_seconds,random_seed,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,ego_dist_at_trigger_m,trigger_time_s,time_to_stop_s,error
run_0000,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.111,0.756,270.22,11.44,24.68,11.035,38.1,4.72,1.16,
run_0001,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.164,0.771,300.55,11.51,24.68,11.035,38.1,4.72,1.16,
run_0002,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.310,0.791,305.19,11.57,24.68,11.035,38.1,4.72,1.14,
run_0003,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.310,0.791,305.19,11.57,24.68,11.035,38.1,4.72,1.14,
run_0004,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.135,0.602,275.11,11.42,24.68,11.035,38.1,4.72,1.28,
run_0005,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.135,0.602,275.11,11.42,24.68,11.035,38.1,4.72,1.28,
run_0006,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,3.810,0.714,301.16,11.34,24.68,11.035,38.1,4.72,1.20,
run_0007,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,4.115,0.757,270.25,11.45,24.68,11.035,38.1,4.72,1.16,
run_0008,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,9.341,1.616,282.66,11.47,24.62,11.008,29.3,3.92,1.34,
run_0009,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,10.198,1.645,276.88,11.58,24.62,11.008,29.3,3.92,1.22,
run_0010,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,10.871,1.648,306.87,11.61,24.62,11.008,29.3,3.92,1.14,
run_0011,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,10.871,1.648,306.87,11.61,24.62,11.008,29.3,3.92,1.14,
run_0012,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,8.620,1.597,289.02,11.56,24.62,11.008,29.3,3.92,1.46,
run_0013,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,8.620,1.597,289.02,11.56,24.62,11.008,29.3,3.92,1.46,
run_0014,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,8.143,1.512,294.58,11.35,24.62,11.008,29.3,3.92,1.50,
run_0015,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,9.502,1.626,281.94,11.50,24.62,11.008,29.3,3.92,1.32,
run_0016,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.136,0.755,270.22,8.76,24.68,11.035,38.1,4.72,1.16,
run_0017,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.188,0.770,300.55,8.82,24.68,11.035,38.1,4.72,1.16,
run_0018,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.330,0.790,305.19,8.86,24.68,11.035,38.1,4.72,1.14,
run_0019,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.330,0.790,305.19,8.86,24.68,11.035,38.1,4.72,1.14,
run_0020,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.208,0.602,275.11,8.75,24.68,11.035,38.1,4.72,1.28,
run_0021,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.208,0.602,275.11,8.75,24.68,11.035,38.1,4.72,1.28,
run_0022,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,3.846,0.713,301.13,8.68,24.68,11.035,38.1,4.72,1.20,
run_0023,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,4.141,0.756,270.25,8.77,24.68,11.035,38.1,4.72,1.16,
run_0024,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,9.417,1.616,282.77,8.75,24.62,11.008,29.3,3.92,1.34,
run_0025,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,10.246,1.645,276.89,8.83,24.62,11.008,29.3,3.92,1.22,
run_0026,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,10.902,1.648,306.87,8.86,24.62,11.008,29.3,3.92,1.14,
run_0027,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,10.902,1.648,306.87,8.86,24.62,11.008,29.3,3.92,1.14,
run_0028,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,8.730,1.597,289.02,8.82,24.62,11.008,29.3,3.92,1.46,
run_0029,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,8.730,1.597,289.02,8.82,24.62,11.008,29.3,3.92,1.46,
run_0030,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,8.271,1.515,295.00,8.66,24.62,11.008,29.3,3.92,1.50,
run_0031,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,9.572,1.626,282.01,8.77,24.62,11.008,29.3,3.92,1.32,
run_0032,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.164,0.769,270.36,11.44,24.93,11.145,97.8,10.10,1.20,
run_0033,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.320,0.792,269.72,11.51,24.93,11.145,97.8,10.10,1.18,
run_0034,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.476,0.816,267.53,11.69,24.93,11.145,97.8,10.10,1.16,
run_0035,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.476,0.816,267.53,11.69,24.93,11.145,97.8,10.10,1.16,
run_0036,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.163,0.607,274.84,11.43,24.93,11.145,97.8,10.10,1.32,
run_0037,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.163,0.607,274.84,11.43,24.93,11.145,97.8,10.10,1.32,
run_0038,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,3.949,0.731,270.37,11.32,24.93,11.145,97.8,10.10,1.22,
run_0039,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,4.169,0.770,270.37,11.45,24.93,11.145,97.8,10.10,1.20,
run_0040,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,9.207,1.612,282.30,11.43,24.90,11.132,88.9,9.30,1.38,
run_0041,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,10.072,1.652,289.56,11.54,24.90,11.132,88.9,9.30,1.28,
run_0042,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,10.925,1.660,269.38,11.60,24.90,11.132,88.9,9.30,1.16,
run_0043,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,10.925,1.660,269.38,11.60,24.90,11.132,88.9,9.30,1.16,
run_0044,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,8.344,1.582,296.52,11.51,24.90,11.132,88.9,9.30,1.52,
run_0045,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,8.344,1.582,296.52,11.51,24.90,11.132,88.9,9.30,1.52,
run_0046,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,7.968,1.481,302.33,11.30,24.90,11.132,88.9,9.30,1.54,
run_0047,25.0,120.0,1.8,left,near,0.5,2.80,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,9.376,1.626,281.60,11.46,24.90,11.132,88.9,9.30,1.36,
run_0048,25.0,120.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.194,0.768,270.34,8.72,24.93,11.145,97.8,10.10,1.20,
run_0049,25.0,120.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,4.345,0.791,269.75,8.78,24.93,11.145,97.8,10.10,1.18,
run_0050,25.0,120.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.497,0.815,267.53,8.92,24.93,11.145,97.8,10.10,1.16,
run_0051,25.0,120.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,4.497,0.815,267.53,8.92,24.93,11.145,97.8,10.10,1.16,
run_0052,25.0,120.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.244,0.608,274.84,8.72,24.93,11.145,97.8,10.10,1.32,
run_0053,25.0,120.0,1.8,left,far,0.5,2.00,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.244,0.608,274.84,8.72,24.93,11.145,97.8,10.10,1.32,
