run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0000,SAC_v3_1600k,25.0,60.0,1.8,left,near,2.0,4.0,2.5,ClearSunset,True,False,full_stop,3.932,0.756,408.16,14.77,24.73,11.057,1.22,borderline-avoidable,4.51
run_0001,SAC_v3_1600k,25.0,60.0,1.8,left,near,2.0,4.0,5.0,ClearSunset,True,False,full_stop,4.049,0.77,408.16,14.81,24.73,11.057,1.2,borderline-avoidable,4.51
run_0008,SAC_v3_1600k,25.0,60.0,1.8,left,near,2.8,4.0,2.5,ClearSunset,True,False,full_stop,10.702,1.654,408.16,16.4,24.7,11.042,1.16,avoidable,13.45
run_0009,SAC_v3_1600k,25.0,60.0,1.8,left,near,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.908,1.654,408.16,16.59,24.7,11.042,1.14,avoidable,13.45
run_0016,SAC_v3_1600k,25.0,60.0,1.8,left,far,2.0,4.0,2.5,ClearSunset,True,False,full_stop,3.97,0.756,408.16,14.77,24.73,11.057,1.22,avoidable,inf
run_0017,SAC_v3_1600k,25.0,60.0,1.8,left,far,2.0,4.0,5.0,ClearSunset,True,False,full_stop,4.08,0.769,408.16,14.81,24.73,11.057,1.2,avoidable,inf
run_0024,SAC_v3_1600k,25.0,60.0,1.8,left,far,2.8,4.0,2.5,ClearSunset,True,False,full_stop,10.735,1.654,408.16,16.4,24.7,11.042,1.16,avoidable,inf
run_0025,SAC_v3_1600k,25.0,60.0,1.8,left,far,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.937,1.654,408.16,16.59,24.7,11.042,1.14,avoidable,inf
run_0032,SAC_v3_1600k,25.0,120.0,1.8,left,near,2.0,4.0,2.5,ClearSunset,True,False,full_stop,4.079,0.775,408.16,8.17,24.95,11.153,1.24,borderline-avoidable,4.51
run_0033,SAC_v3_1600k,25.0,120.0,1.8,left,near,2.0,4.0,5.0,ClearSunset,True,False,full_stop,4.198,0.79,408.16,8.38,24.95,11.153,1.24,borderline-avoidable,4.51
run_0040,SAC_v3_1600k,25.0,120.0,1.8,left,near,2.8,4.0,2.5,ClearSunset,True,False,full_stop,10.524,1.642,408.16,8.63,24.94,11.149,1.18,avoidable,13.45
run_0041,SAC_v3_1600k,25.0,120.0,1.8,left,near,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.731,1.642,408.16,8.79,24.94,11.149,1.16,avoidable,13.45
run_0048,SAC_v3_1600k,25.0,120.0,1.8,left,far,2.0,4.0,2.5,ClearSunset,True,False,full_stop,4.115,0.775,408.16,8.17,24.95,11.153,1.24,avoidable,inf
run_0049,SAC_v3_1600k,25.0,120.0,1.8,left,far,2.0,4.0,5.0,ClearSunset,True,False,full_stop,4.229,0.789,408.16,8.38,24.95,11.153,1.24,avoidable,inf
run_0056,SAC_v3_1600k,25.0,120.0,1.8,left,far,2.8,4.0,2.5,ClearSunset,True,False,full_stop,10.563,1.642,408.16,8.63,24.94,11.149,1.18,avoidable,inf
run_0057,SAC_v3_1600k,25.0,120.0,1.8,left,far,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.767,1.642,408.16,8.79,24.94,11.149,1.16,avoidable,inf
run_0064,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.0,4.0,2.5,ClearSunset,True,True,collision,2.686,0.426,408.16,14.63,34.4,15.377,,borderline-impossible,-3.68
run_0065,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.0,4.0,5.0,ClearSunset,True,True,collision,2.63,0.386,408.16,14.53,34.4,15.377,,borderline-impossible,-3.68
run_0072,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.8,4.0,2.5,ClearSunset,True,False,full_stop,10.151,1.562,408.16,19.4,34.28,15.324,1.76,avoidable,8.84
run_0073,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.474,1.574,408.16,19.29,34.28,15.324,1.72,avoidable,8.84
run_0080,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.0,4.0,2.5,ClearSunset,True,False,full_stop,1.885,0.435,408.16,17.26,34.4,15.377,1.92,avoidable,inf
run_0081,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.0,4.0,5.0,ClearSunset,True,False,full_stop,1.891,0.444,408.16,17.19,34.4,15.377,1.88,avoidable,inf
run_0088,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.8,4.0,2.5,ClearSunset,True,False,full_stop,10.304,1.562,408.16,19.4,34.28,15.324,1.76,avoidable,inf
run_0089,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.611,1.574,408.16,19.28,34.28,15.324,1.72,avoidable,inf
run_0096,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.0,4.0,2.5,ClearSunset,True,True,collision,2.688,0.39,408.16,8.65,34.76,15.541,,borderline-impossible,-3.68
run_0097,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.0,4.0,5.0,ClearSunset,True,True,collision,2.631,0.398,408.16,8.67,34.76,15.541,,borderline-impossible,-3.68
run_0104,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.8,4.0,2.5,ClearSunset,True,False,full_stop,9.866,1.545,408.16,11.63,34.72,15.52,1.76,avoidable,8.84
run_0105,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.288,1.57,408.16,11.24,34.72,15.52,1.74,avoidable,8.84
run_0112,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.0,4.0,2.5,ClearSunset,True,False,full_stop,1.851,0.398,408.16,10.21,34.76,15.541,,avoidable,inf
run_0113,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.0,4.0,5.0,ClearSunset,True,False,full_stop,1.85,0.406,408.16,8.35,34.76,15.541,,avoidable,inf
run_0120,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.8,4.0,2.5,ClearSunset,True,False,full_stop,9.97,1.544,408.16,11.21,34.72,15.52,1.8,avoidable,inf
run_0121,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.8,4.0,5.0,ClearSunset,True,False,full_stop,10.445,1.569,408.16,11.23,34.72,15.52,1.74,avoidable,inf
run_0128,SAC_v3_1600k,45.0,60.0,1.8,left,near,2.0,4.0,2.5,ClearSunset,True,True,collision,2.504,0.228,408.16,15.25,43.37,19.388,,impossible,-17.58
run_0129,SAC_v3_1600k,45.0,60.0,1.8,left,near,2.0,4.0,5.0,ClearSunset,True,True,collision,2.505,0.228,408.16,15.26,43.37,19.388,,impossible,-17.58
run_0136,SAC_v3_1600k,45.0,60.0,1.8,left,near,2.8,4.0,2.5,ClearSunset,True,True,collision,2.563,0.284,408.16,14.52,45.66,20.41,,borderline-impossible,-1.49
run_0137,SAC_v3_1600k,45.0,60.0,1.8,left,near,2.8,4.0,5.0,ClearSunset,True,True,collision,2.672,0.301,408.16,14.52,45.66,20.41,,borderline-impossible,-1.49
run_0144,SAC_v3_1600k,45.0,60.0,1.8,left,far,2.0,4.0,2.5,ClearSunset,True,False,slowed_avoided,1.675,0.228,408.16,6.87,43.37,19.388,,avoidable,inf
run_0145,SAC_v3_1600k,45.0,60.0,1.8,left,far,2.0,4.0,5.0,ClearSunset,True,False,slowed_avoided,1.675,0.228,408.16,6.87,43.37,19.388,,avoidable,inf
run_0152,SAC_v3_1600k,45.0,60.0,1.8,left,far,2.8,4.0,2.5,ClearSunset,True,False,full_stop,1.862,0.3,408.16,13.68,45.66,20.41,,avoidable,inf
run_0153,SAC_v3_1600k,45.0,60.0,1.8,left,far,2.8,4.0,5.0,ClearSunset,True,False,full_stop,1.896,0.317,408.16,13.57,45.66,20.41,,avoidable,inf
run_0160,SAC_v3_1600k,45.0,120.0,1.8,left,near,2.0,4.0,2.5,ClearSunset,True,True,collision,2.676,0.217,408.16,10.44,44.51,19.896,,impossible,-17.58
run_0161,SAC_v3_1600k,45.0,120.0,1.8,left,near,2.0,4.0,5.0,ClearSunset,True,True,collision,2.676,0.217,408.16,10.44,44.51,19.896,,impossible,-17.58
run_0168,SAC_v3_1600k,45.0,120.0,1.8,left,near,2.8,4.0,2.5,ClearSunset,True,False,full_stop,3.476,0.673,408.16,12.49,44.41,19.855,2.44,borderline-impossible,-1.49
run_0169,SAC_v3_1600k,45.0,120.0,1.8,left,near,2.8,4.0,5.0,ClearSunset,True,False,full_stop,3.636,0.695,408.16,12.42,44.41,19.855,2.42,borderline-impossible,-1.49
run_0176,SAC_v3_1600k,45.0,120.0,1.8,left,far,2.0,4.0,2.5,ClearSunset,True,False,slowed_avoided,1.671,0.218,408.16,6.28,44.51,19.896,,avoidable,inf
run_0177,SAC_v3_1600k,45.0,120.0,1.8,left,far,2.0,4.0,5.0,ClearSunset,True,False,slowed_avoided,1.671,0.218,408.16,6.28,44.51,19.896,,avoidable,inf
run_0184,SAC_v3_1600k,45.0,120.0,1.8,left,far,2.8,4.0,2.5,ClearSunset,True,False,full_stop,7.286,0.997,408.16,10.65,44.41,19.855,,avoidable,inf
run_0185,SAC_v3_1600k,45.0,120.0,1.8,left,far,2.8,4.0,5.0,ClearSunset,True,False,full_stop,7.381,1.013,408.16,10.68,44.41,19.855,,avoidable,inf
