run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0104,SAC_v3_1600k,22.0,120.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,12.266,1.881,408.16,7.94,21.98,9.825,1.06,avoidable,15.69
run_0105,SAC_v3_1600k,22.0,120.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,12.872,1.898,408.16,7.84,21.98,9.825,0.96,avoidable,15.69
run_0112,SAC_v3_1600k,22.0,120.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,15.411,2.566,408.16,7.89,21.96,9.819,1.54,avoidable,20.6
run_0113,SAC_v3_1600k,22.0,120.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,18.638,2.567,408.16,8.18,21.96,9.819,1.04,avoidable,20.6
run_0120,SAC_v3_1600k,22.0,120.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,full_stop,2.682,0.511,408.16,7.37,21.98,9.827,1.06,borderline-avoidable,3.88
run_0121,SAC_v3_1600k,22.0,120.0,1.8,left,far,1.8,4.0,5.0,ClearSunset,True,False,full_stop,2.679,0.509,408.16,7.36,21.98,9.827,1.06,borderline-avoidable,3.88
run_0128,SAC_v3_1600k,22.0,120.0,1.8,left,far,2.2,4.0,2.5,ClearSunset,True,False,full_stop,6.659,1.158,408.16,7.46,21.98,9.827,0.98,avoidable,inf
run_0129,SAC_v3_1600k,22.0,120.0,1.8,left,far,2.2,4.0,5.0,ClearSunset,True,False,full_stop,6.665,1.161,408.16,7.45,21.98,9.827,0.98,avoidable,inf
run_0136,SAC_v3_1600k,22.0,120.0,1.8,left,far,2.6,4.0,2.5,ClearSunset,True,False,full_stop,10.77,1.71,408.16,7.87,21.98,9.826,1.06,avoidable,inf
run_0137,SAC_v3_1600k,22.0,120.0,1.8,left,far,2.6,4.0,5.0,ClearSunset,True,False,full_stop,10.978,1.71,408.16,7.7,21.98,9.826,1.02,avoidable,inf
