run_id,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,walker_startup_s,trigger_ttc_s,trigger_delay_s,braking_ramp_up_per_s,brake_headway_s,brake_profile,weather_preset,sun_altitude_deg,cloudiness,sim_seconds,random_seed,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,ego_dist_at_trigger_m,trigger_time_s,time_to_stop_s,error
run_0000,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,13.0,,True,False,full_stop,4.110,0.756,270.27,6.35,24.68,11.035,38.1,4.72,1.16,
run_0001,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,13.0,,True,False,full_stop,4.310,0.791,305.19,6.42,24.68,11.035,38.1,4.72,1.14,
run_0002,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,13.0,,True,False,full_stop,3.135,0.602,275.11,6.33,24.68,11.035,38.1,4.72,1.28,
run_0003,25.0,60.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,exponential,ClearSunset,,,13.0,,True,False,full_stop,3.810,0.714,301.16,6.29,24.68,11.035,38.1,4.72,1.20,
run_0004,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,13.0,,True,False,full_stop,9.341,1.616,282.66,5.77,24.62,11.008,29.3,3.92,1.34,
run_0005,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,step_constant,ClearSunset,,,13.0,,True,False,full_stop,10.871,1.648,306.87,5.85,24.62,11.008,29.3,3.92,1.14,
run_0006,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,13.0,,True,False,full_stop,8.620,1.597,289.02,5.82,24.62,11.008,29.3,3.92,1.46,
run_0007,25.0,60.0,1.8,left,near,0.5,2.80,0.0,4.0,2.5,exponential,ClearSunset,,,13.0,,True,False,full_stop,8.143,1.512,294.58,5.71,24.62,11.008,29.3,3.92,1.50,
run_0008,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,13.0,,True,False,full_stop,4.136,0.755,270.22,6.35,24.68,11.035,38.1,4.72,1.16,
run_0009,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,13.0,,True,False,full_stop,4.330,0.790,305.19,6.42,24.68,11.035,38.1,4.72,1.14,
run_0010,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,13.0,,True,False,full_stop,3.208,0.602,275.11,6.33,24.68,11.035,38.1,4.72,1.28,
run_0011,25.0,60.0,1.8,left,far,0.5,2.00,0.0,4.0,2.5,exponential,ClearSunset,,,13.0,,True,False,full_stop,3.846,0.713,301.13,6.29,24.68,11.035,38.1,4.72,1.20,
run_0012,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,13.0,,True,False,full_stop,9.417,1.616,282.77,5.78,24.62,11.008,29.3,3.92,1.34,
run_0013,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,step_constant,ClearSunset,,,13.0,,True,False,full_stop,10.902,1.648,306.87,5.85,24.62,11.008,29.3,3.92,1.14,
run_0014,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,13.0,,True,False,full_stop,8.730,1.597,289.02,5.82,24.62,11.008,29.3,3.92,1.46,
run_0015,25.0,60.0,1.8,left,far,0.5,2.80,0.0,4.0,2.5,exponential,ClearSunset,,,13.0,,True,False,full_stop,8.271,1.515,295.00,5.71,24.62,11.008,29.3,3.92,1.50,
run_0016,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,13.0,,True,False,full_stop,4.164,0.769,270.36,18.11,24.93,11.145,97.8,10.10,1.20,
run_0017,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,step_constant,ClearSunset,,,13.0,,True,False,full_stop,4.476,0.816,267.53,18.51,24.93,11.145,97.8,10.10,1.16,
run_0018,25.0,120.0,1.8,left,near,0.5,2.00,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,13.0,,True,False,full_stop,3.163,0.607,274.84,18.09,24.93,11.145,97.8,10.10,1.32,
